Particle ID,FWS Total,SWS Total,FL Yellow Total,FL Orange Total,FL Red Total,FL Green Total
6972,7422,535.1,24.46,144.8,2834,26.62
6974,1.386E+04,4838,2244,714.5,9811,577.1
6975,2720,699.7,17.44,78.57,1584,31.01
6983,3.612E+04,6335,87.08,3579,6.298E+04,138.3
6985,1.227E+04,5286,110.8,660.6,7773,127
6996,5428,357.8,21.02,79.12,1353,21.42
7015,2.226E+04,7040,2071,688.2,9122,567.7
7028,1065,1773,32.23,24.48,69.42,81.53
7030,5481,775.4,25.61,108.6,2438,28.53
7031,1.064E+04,4552,1050,639.7,8779,327.9
7059,9875,743.3,16.56,172.5,3452,28.73
7061,7366,1880,682,771,1577,593.3
7069,220.7,386.8,35.82,43.43,66.35,30.07
7096,2.275E+05,2.382E+05,1581,1890,7643,1201
7102,184.1,1130,30.04,25.06,32.87,56.21
7108,2.897E+04,6732,2478,990.7,1.33E+04,605
7120,1.235E+04,2799,1187,635.7,9398,397.9
7124,2.757E+04,1.525E+04,128.6,1.112E+04,1.655E+05,115.6
7144,1435,399.5,19.08,46.95,595.2,24.64
7145,2.435E+04,3920,1785,568.2,6540,474
7150,2066,324.4,14.97,45.32,857.7,25.68
7158,2.859E+04,7075,1162,716.9,1.068E+04,357.7
7159,1.508E+04,2506,31.89,277.5,4826,67.29
7160,8308,561.2,16.35,195.3,3449,32.44
7164,4.18E+04,1.705E+04,5961,2809,4.193E+04,1311
7176,455.4,532.1,47.39,57.04,109.3,50.54
7193,4.292E+04,3.551E+04,74.07,2830,4.033E+04,82.68
7194,2174,834.1,48.49,26.04,46.02,197.5
7201,2.828E+04,5829,1093,691.5,1.051E+04,296.4
7203,2.511E+04,4.223E+04,1.704E+04,4597,5.044E+04,3232
7217,1.413E+04,1.069E+04,5926,2829,3.836E+04,1248
7222,9380,1261,31.37,137.3,3211,57.1
7232,354.6,467,21.35,15.61,33.32,32.98
7233,6154,5647,45.88,61.34,231.6,51.79
7255,1.435E+04,3075,962.7,595,8120,322.7
7260,2178,1412,30.16,37.1,85.57,71.87
